cytoband	11q25	17q21.31	8p22	19p13.3	6q27	11p15.5	6q15	9p23	2q37.3	3p14.2	17p12	13q14.2	12q24.21	1p36.31	14q24.3	15q13.1	19q13.32	9p21.3	10q26.3	9q21.12	1p13.3	16q24.2	18q23	5q12.3	18p11.31	17p11.2	4p16.3	3p12.2	4q35.2	8p11.21	8q24.3	1p36.32	7q36.1	13q11	21q21.3	1p36.23	7p22.3	2p24.1	22q13.32	21q11.2	
																					LAMTOR5-AS1	MIR6771		LOC102467081								MIR1256	MIR490			CEP85					
																					RNVU1-8	MIR6772		LOC102467147								MIR1976	ZNF862			NMNAT1					
																					ROR1-AS1	MIR6775		LOC102467212								MIR1290	MNX1-AS1			ELOVL1					
																					LINC01359	MIR7641-2		LOC102467213								MIR1302-2	LHFPL3-AS1			VWA1					
																					LOC101927139	MIR7854		LOC102467214								NPPA-AS1	AZGP1P1			MRPS15					
																					DEPDC1-AS1	MIR8058		LOC102467216								MIR1302-9	C7orf73			PINK1					
																					LOC101927244	MIR6773		LOC102467217								MIR1302-10	TCAF2P1			MARCKSL1					
																					LINC01360	MIR6774		LOC102467223								MIR3115	ACTR3C			PRAMEF1					
																					ERICH3-AS1	MIR6863		LOC102467224								MIR4253	MIR591			PRAMEF2					
																					LOC101927342	LOC102467079		LOC102467225								MIR1302-11	MIR592			NADK					
																					LOC101927412	MAFTRR		LOC102467226								MIR4251	MIR593			ZFP69B					
																					LOC101927429	LOC102723373		LOC102467655								MIR1273D	MIR595			COA7					
																					LOC101927434	LOC102723753		LOC102477328								MIR4252	LHFPL3-AS2			PHACTR4					
																					LOC101927468	LOC102724084		LOC102503427								MIR3917	ARHGEF34P			AUNIP					
																					LINC01361	TP53TG3E		LINC01335								MIR3675	LOC728743			ERI3					
																					LOC101927560	TP53TG3F		RASGRF2-AS1								LOC100505887	SPDYE6			C1orf50					
																					LOC101927587	LOC102724163		LINC01338								ENO1-AS1	TMEM229A			CCDC28B					
																					LOC101927844	LOC102724344		LOC102546226								LOC100506022	LUZP6			EFHD2					
																					PKN2-AS1	LOC102724467		LINC01340								LOC100506730	MIR671			MMEL1					
																					LINC01057	FOXC2-AS1		LOC102546228								LOC100506801	HTR5A-AS1			RSG1					
																					LOC101928098	ENPP7P13		LOC102546229								TCEB3-AS1	CTAGE4			DLEU2L					
																					LOC101928118	LOC105371267		LOC102723557								LOC100506985	LINC01003			OR4F5					
																					LOC101928241	LOC105371328		BRCAT107								APITD1-CORT	LOC100129148			NKAIN1					
																					LOC101928270	LOC105371335		LOC102724392								MINOS1-NBL1	RPL19P12			MUL1					
																					LOC101928370	LOC105371414		CTD-2151A2.1								MIR4695	PCOLCE-AS1			TMEM53					
																					LOC101928436	LOC105376772		ADAMTS19-AS1								MIR4420	LOC100130705			AKIRIN1					
																					LOC101928476	LOC106699570		LINC01337								MIR4419A	EFCAB10			HECTD3					
																					LOC101928718			LINC01170								MIR3972	LOC100130880			BEND5					
																					HIPK1-AS1			LINC01331								MIR4425	WDR86-AS1			YRDC					
																					LOC101928977			LINC01336								MIR4684	PAXIP1-AS2			ZYG11B					
																					LOC101928979			LINC01033								MIR4689	JHDM1D-AS1			NOL9					
																					LOC101928995			LINC01386								MIR5096	NDUFB2-AS1			PPCS					
																					LOC101929023			LOC105379030								MIR4418	UPK3BL			LIN28A					
																					LOC101929099			LOC105379054								MIR4632	CTAGE8			SH3D21					
																					LOC101929147			LOC105379143								MIR4417	KMT2E-AS1			SNIP1					
																					NBPF25P			LOC105379176								MIR378F	LINC01004			AGMAT					
																					LOC101929798			LOC105379183								RCAN3AS	RASA4B			WDR78					
																					RNVU1-4			LOC105379192								MIR5697	SMKR1			ZMYM1					
																					RNVU1-14			LINC01455								PINK1-AS	MOXD2P			LINC00115					
																					RNVU1-15			WSPAR								MTOR-AS1	GS1-259H13.2			MORN1					
																					RNVU1-20			TRPC7-AS2								LINC01355	LOC100289561			FAM110D					
																					RNVU1-17											LOC100996583	ZNF783			KIAA0319L					
																					RNVU1-3											HNRNPCL4	MIR548O			DHDDS					
																					RNVU1-1											LOC101927876	MIR548F4			WLS					
																					RNVU1-6											LOC101927895	SAP25			GPR157					
																					RNVU1-19											UBXN10-AS1	MIR4285			ZC3H12A					
																					MIR6068											LOC101928043	MTRNR2L6			SPSB1					
																					MIR7852											LOC101928163	MIR3654			CPTP					
																					MIR7856											LOC101928303	MIR3609			ZNF436					
																					MIR6736											LOC101928324	MIR3907			TAS1R2					
																					MIR6077											LOC101928460	MIR3666			TAS1R1					
																					MIR7156											LOC101928626	PRKAG2-AS1			GJA9					
																					LOC102606465											LOC101928728	LOC100506136			OR4F16					
																					LOC102723661											PIK3CD-AS2	LOC100506302			SYNC					
																					CH17-408M7.1											LOC101929181	LINC01006			ACTL8					
																					LOC103091866											LOC101929406	DOCK4-AS1			TSSK3					
																					LINC01461											PRAMEF27	LINC01007			CCNL2					
																					LINC01397											RNU6-7	LOC100506585			HYI					
																					LINC01307											RNU6-8	LOC100506682			SH3BGRL3					
																					LINC01525											MIR6084	LOC100506860			SESN2					
																					WARS2-IT1											MIR6723	MKLN1-AS			ESPN					
																					LOC105378828											MIR6726	LOC100506937			TAS1R3					
																					LOC105378853											MIR6727	TMEM178B			ATAD3B					
																					LOC105378933											MIR6728	LOC100507507			STK40					
																																MIR6731	ATP5J2-PTCD1			TM2D1					
																																MIR7846	GIMAP1-GIMAP5			TMEM222					
																																MIR6859-2	MIR4653			PLEKHN1					
																																MIR6859-3	MIR4468			USP48					
																																MIR6127	MIR4467			ZMYND12					
																																MIR6730	MIR4658			NBPF3					
																																MIR6808	LOC100630923			ZDHHC18					
																																MIR6859-1	MIR5692C2			SGIP1					
																																MIR6729	MIR5707			SLC25A33					
																																LOC102724312	MIR5692A2			DDI2					
																																LOC102724450	MIR5692A1			LZIC					
																																LOC102724539	MIR5090			EFCAB7					
																																LOC102724552	CYP3A7-CYP3A51P			NT5C1A					
																																LOC102724571	LOC100996249			TRIM63					
																																LOC102724659	LINC01510			FAM167B					
																																RNU6-2	C7orf55-LUC7L2			FOXD2-AS1					
																																LOC105376736	STAG3L5P			PERM1					
																																LOC105376805	PVRIG2P			CROCCP2					
																																LOC105378591	STAG3L5P-PVRIG2P-PILRB			HPDL					
																																LOC105378614	LOC101927550			AGBL4					
																																MIR34AHG	ZASP			MFSD2A					
																																SNORD128	LOC101927746			ATG4C					
																																	LOC101927870			PRPF38A					
																																	LOC101927914			SYTL1					
																																	LOC101928012			IGSF21					
																																	HRAT17			LSM10					
																																	LOC101928211			C1orf94					
																																	LOC101928254			SNHG12					
																																	LOC101928283			DOCK7					
																																	LOC101928333			CFAP74					
																																	OR2A1-AS1			KIAA2013					
																																	LOC101928605			THAP3					
																																	LOC101928700			STPG1					
																																	LOC101928782			SPOCD1					
																																	LOC101928807			BTF3L4					
																																	LOC101928861			UBXN11					
																																	LOC101929998			C1orf158					
																																	RNU6-7			FBXO44					
																																	RNU6-8			ATPIF1					
																																	MIR6133			SNORD46					
																																	MIR6509			SNORD38A					
																																	MIR6892			SNORD38B					
																																	MIR6132			MED8					
																																	MIR6840			KTI12					
																																	MIR6875			SMIM12					
																																	GHET1			AZIN2					
																																	LOC102724094			TMEM54					
																																	LINC01393			TOE1					
																																	LOC102724434			ERMAP					
																																	LOC102724555			CSMD2					
																																	RNU6-2			MYSM1					
																																	LINC01287			CROCCP3					
																																	LINC01392			FHAD1					
																																	LOC105375429			OSBPL9					
																																	LVCAT5			LOC115110					
																																	LOC105375483			OMA1					
																																	LOC105375504			RAB42					
																																	LOC105375512			LRRC42					
																																	LOC105375545			FAM46B					
																																	LOC105375556			RBP7					
																																	LINC01022			ACAP3					
																																	SCARNA28			UBE2J2					
																																				CCDC163					
																																				KDF1					
																																				LRRC38					
																																				AADACL3					
																																				PUSL1					
																																				B3GALT6					
																																				IFFO2					
																																				TPRG1L					
																																				FAM213B					
																																				MYOM3					
																																				DMBX1					
																																				TMCO2					
																																				ZNF684					
																																				TCEANC2					
																																				PODN					
																																				GJB4					
																																				HMGB4					
																																				RNF19B					
																																				A3GALT2					
																																				C1orf122					
																																				OSCP1					
																																				C1orf216					
																																				KLHDC7A					
																																				VWA5B1					
																																				UBXN10					
																																				C1orf87					
																																				KLF17					
																																				TMEM125					
																																				ARHGEF19					
																																				ACTRT2					
																																				MIB2					
																																				C1orf127					
																																				SAMD11					
																																				LOC148413					
																																				PHF13					
																																				UBE2U					
																																				LINC00337					
																																				CCDC27					
																																				ZNF436-AS1					
																																				KNCN					
																																				MOB3C					
																																				GLIS1					
																																				DCDC2B					
																																				ZNF362					
																																				LINC01225					
																																				MANEAL					
																																				IL23R					
																																				PDIK1L					
																																				CLDN19					
																																				CFAP57					
																																				C1orf210					
																																				CCDC24					
																																				BTBD19					
																																				CCDC17					
																																				C1orf64					
																																				SLC2A7					
																																				CALML6					
																																				IFNLR1					
																																				CYP4Z2P					
																																				CITED4					
																																				SLC25A3P1					
																																				LEXM					
																																				KANK4					
																																				FAM43B					
																																				PAQR7					
																																				OXCT2P1					
																																				AGO3					
																																				AGO4					
																																				FAM76A					
																																				LINC00466					
																																				C1orf168					
																																				TMEM201					
																																				TMEM61					
																																				CYP4Z1					
																																				FAAP20					
																																				CDCP2					
																																				SLC5A9					
																																				CC2D1B					
																																				TXLNA					
																																				TCTEX1D1					
																																				SLFNL1					
																																				TMEM51-AS1					
																																				ATAD3C					
																																				AKR7L					
																																				FNDC5					
																																				LINC01342					
																																				TTLL10					
																																				TMCO4					
																																				PCSK9					
																																				ZNF683					
																																				MDS2					
																																				CYP4X1					
																																				NPHP4					
																																				BEST4					
																																				C1orf167					
																																				CYP4A22					
																																				C1orf185					
																																				LINC01226					
																																				FAM41C					
																																				LOC284632					
																																				RSPO1					
																																				EPHA10					
																																				LOC284661					
																																				RIMKLA					
																																				SLC25A34					
																																				ESPNP					
																																				FAM151A					
																																				LINC01343					
																																				C1orf174					
																																				KLHL17					
																																				TMEM240					
																																				TMEM52					
																																				MTMR9LP					
																																				ZBTB8OS					
																																				TFAP2E					
																																				LINC01141					
																																				LOC339539					
																																				C1orf228					
																																				ZFP69					
																																				AADACL4					
																																				PRAMEF5					
																																				HNRNPCL1					
																																				PRAMEF10					
																																				TCTEX1D4					
																																				SERINC2					
																																				FAM159A					
																																				FAM131C					
																																				PADI6					
																																				BMP8A					
																																				DRAXIN					
																																				SPATA21					
																																				SVBP					
																																				TEX38					
																																				MROH7					
																																				AGRN					
																																				CENPS					
																																				CATSPER4					
																																				NSUN4					
																																				GPR153					
																																				FAM132A					
																																				HES5					
																																				SMIM1					
																																				RNF207					
																																				TMEM82					
																																				TRNP1					
																																				CD164L2					
																																				TRABD2B					
																																				LDLRAD1					
																																				HES3					
																																				PRAMEF12					
																																				PRAMEF8					
																																				PRAMEF18					
																																				PRAMEF17					
																																				PLA2G2C					
																																				SKINT1L					
																																				TMEM200B					
																																				FAM87B					
																																				PRAMEF4					
																																				PRAMEF13					
																																				SH2D5					
																																				NCMAP					
																																				LINC01144					
																																				C1orf141					
																																				RNF223					
																																				LDLRAD2					
																																				CSMD2-AS1					
																																				MIR101-1					
																																				MIR200A					
																																				MIR200B					
																																				MIR30C1					
																																				MIR30E					
																																				MIR34A					
																																				MGC34796					
																																				LINC00982					
																																				PRAMEF11					
																																				PRAMEF6					
																																				HNRNPCL2					
																																				UQCRHL					
																																				MINOS1					
																																				SLC2A1-AS1					
																																				FAM183A					
																																				ZYG11A					
																																				ANKRD65					
																																				PRAMEF7					
																																				PRAMEF25					
																																				LURAP1					
																																				PEF1					
																																				MIR429					
																																				CYB5RL					
																																				SSBP3-AS1					
																																				KIAA0754					
																																				LINC01128					
																																				TMEM88B					
																																				FNDC10					
																																				RPS14P3					
																																				ACTG1P20					
																																				PIK3CD-AS1					
																																				NFIA-AS1					
																																				PRAMEF26					
																																				PRAMEF33P					
																																				PRAMEF19					
																																				PRAMEF20					
																																				FAM138A					
																																				LACTBL1					
																																				LOC646471					
																																				PRAMEF34P					
																																				HNRNPCL3					
																																				ZBTB8A					
																																				LOC653160					
																																				PRAMEF22					
																																				PRAMEF15					
																																				WASH7P					
																																				FAM138C					
																																				SCARNA1					
																																				FAM138D					
																																				SNORA44					
																																				SNORA55					
																																				SNORA61					
																																				SNORA59A					
																																				SNORA16A					
																																				SNORD103C					
																																				SNORD99					
																																				SNORD103A					
																																				MIR551A					
																																				MIR552					
																																				C1orf195					
																																				ZBTB8B					
																																				LINC01137					
																																				PPIEL					
																																				CCDC30					
																																				CDK11A					
																																				SLC35E2B					
																																				LINC01346					
																																				RPS15AP10					
																																				FAAHP1					
																																				C1orf234					
																																				HSD52					
																																				PRAMEF14					
																																				FAM231A					
																																				FAM231C					
																																				FLJ37453					
																																				LOC729737					
																																				OR4F29					
																																				FAM229A					
																																				MATN1-AS1					
																																				LOC100129534					
																																				LOC100129924					
																																				EFCAB14-AS1					
																																				LOC100130417					
																																				NFYC-AS1					
																																				LINC01135					
																																				LOC100132062					
																																				FOXO6					
																																				LOC100132147					
																																				KDM4A-AS1					
																																				FAM231B					
																																				LOC100133331					
																																				LINC01134					
																																				DDX11L1					
																																				TTC34					
																																				LOC100288069					
																																				GNG12-AS1					
																																				MIR1256					
																																				MIR1976					
																																				MIR1290					
																																				MIR1302-2					
																																				MIR1262					
																																				MIR761					
																																				NPPA-AS1					
																																				MIR1302-9					
																																				MIR1302-10					
																																				MIR3115					
																																				MIR3117					
																																				MIR4255					
																																				MIR3116-1					
																																				MIR4253					
																																				MIR1302-11					
																																				MIR3116-2					
																																				MIR4251					
																																				MIR1273D					
																																				MIR4252					
																																				MIR4254					
																																				MIR3659					
																																				MIR3917					
																																				MIR3605					
																																				MIR3671					
																																				MIR3675					
																																				LOC100505887					
																																				ENO1-AS1					
																																				LOC100506022					
																																				TMEM35B					
																																				LOC100506730					
																																				LOC100506801					
																																				TCEB3-AS1					
																																				LOC100506985					
																																				SLFNL1-AS1					
																																				MKNK1-AS1					
																																				LOC100507564					
																																				LOC100507634					
																																				APITD1-CORT					
																																				GJA9-MYCBP					
																																				MROH7-TTC4					
																																				MINOS1-NBL1					
																																				MIR4695					
																																				MIR1273G					
																																				MIR1273F					
																																				MIR4420					
																																				MIR4419A					
																																				MIR3972					
																																				MIR4421					
																																				MIR4422					
																																				MIR4781					
																																				MIR4794					
																																				MIR4425					
																																				MIR4684					
																																				MIR4711					
																																				MIR4689					
																																				MIR5096					
																																				MIR4418					
																																				MIR4632					
																																				MIR5095					
																																				MIR4417					
																																				MIR378F					
																																				RCAN3AS					
																																				MIR5581					
																																				MIR5585					
																																				MIR5697					
																																				MIR5584					
																																				PINK1-AS					
																																				MTOR-AS1					
																																				LINC00853					
																																				ERI3-IT1					
																																				AGBL4-IT1					
																																				FOXD3-AS1					
																																				LINC01355					
																																				NFIA-AS2					
																																				LOC100996583					
																																				HNRNPCL4					
																																				DAB1-AS1					
																																				LINC01358					
																																				LOC101926944					
																																				LOC101926964					
																																				ROR1-AS1					
																																				LINC01359					
																																				LOC101927139					
																																				LOC101927876					
																																				LOC101927895					
																																				UBXN10-AS1					
																																				LOC101928043					
																																				LOC101928163					
																																				LOC101928303					
																																				LOC101928324					
																																				LOC101928460					
																																				LOC101928626					
																																				LOC101928728					
																																				PIK3CD-AS2					
																																				LOC101929181					
																																				LOC101929406					
																																				LOC101929464					
																																				LOC101929516					
																																				LOC101929536					
																																				LOC101929592					
																																				LOC101929626					
																																				LINC01398					
																																				LOC101929721					
																																				LOC101929901					
																																				LOC101929935					
																																				PRAMEF27					
																																				RNU6-7					
																																				RNU6-8					
																																				MIR6068					
																																				MIR6079					
																																				MIR6084					
																																				MIR6723					
																																				MIR6726					
																																				MIR6727					
																																				MIR6728					
																																				MIR6731					
																																				MIR6732					
																																				MIR6733					
																																				MIR6735					
																																				MIR7846					
																																				MIR6859-2					
																																				MIR6859-3					
																																				MIR6127					
																																				MIR6500					
																																				MIR6730					
																																				MIR6734					
																																				MIR6808					
																																				MIR6859-1					
																																				MIR6729					
																																				LINC01389					
																																				TTC39A-AS1					
																																				LOC102724312					
																																				LOC102724450					
																																				LOC102724539					
																																				LOC102724552					
																																				LOC102724571					
																																				LOC102724659					
																																				RNU6-2					
																																				TXNDC12-AS1					
																																				LOC105376736					
																																				LOC105376805					
																																				LOC105378591					
																																				LOC105378614					
																																				LOC105378663					
																																				LOC105378683					
																																				LOC105378732					
																																				MIR34AHG					
																																				SNORD128					
																																				SNORA110					
